epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,46.6524,1.79483,1.29185,1.02844,0.70312,0.58291,0.68075,0.37674,1.54575,1.27358,1.03831,0.000325,0.000325,0.067825
2,111.52,1.81184,1.29483,1.00994,0.67084,0.56784,0.66842,0.36458,1.56545,1.27897,1.04426,0.000645298,0.000645298,0.034812
3,179.75,1.75452,1.24228,1.02854,0.68975,0.58095,0.67651,0.37614,1.56272,1.27052,1.04485,0.000952397,0.000952397,0.00178573
4,242.355,1.7135,1.20776,1.00156,0.60695,0.63317,0.67441,0.37465,1.5638,1.25885,1.04242,0.0009406,0.0009406,0.0009406
5,312.918,1.76563,1.26899,1.01639,0.59448,0.66301,0.67796,0.37666,1.56224,1.25003,1.03919,0.0009208,0.0009208,0.0009208
6,386.28,1.82161,1.24904,1.00098,0.59685,0.63819,0.67893,0.3809,1.56042,1.25103,1.04198,0.000901,0.000901,0.000901
7,472.067,1.71455,1.17927,1.00491,0.73112,0.54774,0.67333,0.38,1.56052,1.25082,1.0413,0.0008812,0.0008812,0.0008812
8,562.076,1.76269,1.2019,0.99412,0.76312,0.55041,0.68325,0.38034,1.55586,1.24789,1.04127,0.0008614,0.0008614,0.0008614
9,642.527,1.69514,1.1944,0.98854,0.76449,0.55779,0.69079,0.38332,1.55162,1.24184,1.0385,0.0008416,0.0008416,0.0008416
10,721.774,1.73282,1.16301,0.96585,0.67957,0.58616,0.6913,0.37809,1.54812,1.23574,1.03639,0.0008218,0.0008218,0.0008218
11,799.516,1.6849,1.16259,0.95942,0.60994,0.63317,0.69485,0.37373,1.55378,1.2223,1.03709,0.000802,0.000802,0.000802
12,874.496,1.73663,1.17326,0.96714,0.69527,0.59296,0.6963,0.37706,1.54817,1.22486,1.03864,0.0007822,0.0007822,0.0007822
13,948.841,1.68296,1.16022,0.97848,0.7142,0.57764,0.6991,0.38537,1.54914,1.21896,1.04363,0.0007624,0.0007624,0.0007624
14,1027.08,1.70246,1.16829,0.97141,0.7242,0.56739,0.70224,0.38471,1.55435,1.2297,1.04835,0.0007426,0.0007426,0.0007426
15,1093.93,1.72293,1.16935,0.95693,0.69231,0.57789,0.70223,0.38505,1.56921,1.23024,1.04891,0.0007228,0.0007228,0.0007228
16,1174.08,1.69214,1.15318,0.99381,0.7292,0.58187,0.69851,0.38779,1.56201,1.22848,1.0449,0.000703,0.000703,0.000703
17,1258.63,1.68407,1.11692,0.95339,0.67253,0.60804,0.69861,0.38841,1.54693,1.22866,1.04756,0.0006832,0.0006832,0.0006832
18,1336.12,1.65305,1.09285,0.97216,0.73518,0.57789,0.70407,0.39154,1.54105,1.22492,1.0448,0.0006634,0.0006634,0.0006634
19,1409.64,1.65143,1.15129,0.95074,0.64593,0.63317,0.7036,0.38763,1.5439,1.22481,1.04606,0.0006436,0.0006436,0.0006436
20,1485.35,1.71484,1.1417,0.9699,0.73171,0.56784,0.7029,0.38169,1.55012,1.22,1.04177,0.0006238,0.0006238,0.0006238
21,1561.6,1.66262,1.10137,0.96524,0.74302,0.55779,0.702,0.38518,1.55071,1.21979,1.04394,0.000604,0.000604,0.000604
22,1637.03,1.60333,1.09717,0.97988,0.71885,0.57286,0.70275,0.38568,1.55219,1.21648,1.04322,0.0005842,0.0005842,0.0005842
23,1713.22,1.65584,1.11886,0.95708,0.6369,0.65327,0.69953,0.38309,1.55646,1.21213,1.04875,0.0005644,0.0005644,0.0005644
24,1788.41,1.59769,1.05906,0.96225,0.65068,0.60842,0.69574,0.38289,1.57316,1.21184,1.05239,0.0005446,0.0005446,0.0005446
25,1861.65,1.54604,1.01453,0.94191,0.7077,0.58291,0.70053,0.38844,1.57581,1.2145,1.0573,0.0005248,0.0005248,0.0005248
26,1935.35,1.60018,1.04122,0.94305,0.72391,0.58291,0.69303,0.38375,1.5778,1.21229,1.05779,0.000505,0.000505,0.000505
27,2007.14,1.62633,1.08043,0.96318,0.74122,0.57286,0.70536,0.39111,1.59066,1.20272,1.06266,0.0004852,0.0004852,0.0004852
28,2087.89,1.58297,1.03697,0.94148,0.66605,0.65327,0.71235,0.39551,1.58472,1.20004,1.06349,0.0004654,0.0004654,0.0004654
29,2156.31,1.65641,1.06468,0.97457,0.70301,0.63317,0.71836,0.39312,1.5751,1.18841,1.06651,0.0004456,0.0004456,0.0004456
30,2234.64,1.63474,1.0774,0.97064,0.65088,0.63707,0.71318,0.39274,1.57465,1.17863,1.06542,0.0004258,0.0004258,0.0004258
31,2301.79,1.55952,1.02427,0.94666,0.76773,0.55779,0.70964,0.38798,1.57452,1.18581,1.06378,0.000406,0.000406,0.000406
32,2377,1.64692,1.04175,0.95771,0.80042,0.55276,0.71157,0.38822,1.57404,1.17762,1.066,0.0003862,0.0003862,0.0003862
33,2447.64,1.62247,1.0857,0.94774,0.77352,0.55779,0.70774,0.38575,1.57278,1.181,1.06243,0.0003664,0.0003664,0.0003664
34,2529.57,1.58496,1.05288,0.96945,0.78621,0.55439,0.7094,0.38531,1.57862,1.19353,1.05637,0.0003466,0.0003466,0.0003466
35,2605.87,1.54843,0.99349,0.93612,0.75269,0.55779,0.71334,0.3894,1.57865,1.18378,1.0667,0.0003268,0.0003268,0.0003268
36,2684.71,1.62029,1.04123,0.94003,0.7536,0.58794,0.71475,0.38965,1.58679,1.18977,1.0672,0.000307,0.000307,0.000307
37,2758.54,1.55059,1.02187,0.95175,0.74062,0.57394,0.71036,0.38381,1.59345,1.1906,1.06684,0.0002872,0.0002872,0.0002872
38,2842,1.59078,1.02265,0.95835,0.70649,0.59799,0.70771,0.38766,1.57934,1.19459,1.06899,0.0002674,0.0002674,0.0002674
39,2916.29,1.54269,0.9812,0.94336,0.70577,0.60302,0.70764,0.38789,1.57094,1.19816,1.06954,0.0002476,0.0002476,0.0002476
40,2996.26,1.53661,1.05096,0.95162,0.71626,0.5962,0.71026,0.3874,1.56539,1.18702,1.06952,0.0002278,0.0002278,0.0002278
41,3068.11,1.65078,1.18165,1.00288,0.64209,0.60804,0.66452,0.36123,1.59086,1.28608,1.08184,0.000208,0.000208,0.000208
42,3144.27,1.59723,1.10403,0.95785,0.6161,0.60486,0.64574,0.35084,1.61728,1.31947,1.08582,0.0001882,0.0001882,0.0001882
43,3214.33,1.56333,1.04952,0.95928,0.64203,0.61286,0.64838,0.34567,1.62832,1.32605,1.08356,0.0001684,0.0001684,0.0001684
