epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
53,7057.77,1.91384,1.55227,1.3935,0.61795,0.49923,0.52706,0.22547,1.96631,1.76566,1.34621,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
54,7498.69,1.91077,1.55016,1.38502,0.61814,0.50914,0.5273,0.22397,1.95911,1.76726,1.3442,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
55,7938.77,1.88794,1.51099,1.36762,0.61603,0.51968,0.52354,0.22408,1.96574,1.76737,1.33746,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
56,8379.96,1.88738,1.51907,1.37462,0.58856,0.5361,0.53659,0.23057,1.96575,1.77381,1.34353,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
57,8821.24,1.87443,1.52005,1.37354,0.6201,0.51379,0.54425,0.23278,1.95818,1.73489,1.35083,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
58,9262.61,1.85575,1.48045,1.37215,0.61681,0.51317,0.5441,0.23418,1.95292,1.73495,1.35432,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
59,422.073,1.71072,1.3092,1.29827,0.65002,0.49241,0.54533,0.23646,1.95421,1.73151,1.35926,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
60,854.796,1.73579,1.31061,1.30309,0.64903,0.50371,0.54495,0.23948,1.96425,1.73573,1.36307,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
61,1294.47,1.70536,1.28731,1.28913,0.66916,0.49675,0.54825,0.24209,1.96994,1.72442,1.36401,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
62,1734.37,1.70593,1.28471,1.2936,0.65702,0.51255,0.54978,0.24437,1.96853,1.72355,1.36425,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961
63,2173.95,1.74289,1.32815,1.30503,0.64053,0.52804,0.55214,0.24394,1.97178,1.71569,1.36728,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
64,2613.39,1.72679,1.30847,1.29166,0.65533,0.51967,0.55305,0.24527,1.96407,1.71727,1.36081,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763
65,3053.79,1.72483,1.32483,1.28939,0.64108,0.53238,0.55691,0.24565,1.96588,1.70448,1.35824,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
