epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.5201,2.86415,2.50948,1.33671,0.46383,0.34254,0.31592,0.12182,2.25044,1.93102,1.22571,0.001625,0.001625,0.069125
2,30.4055,2.407,1.94686,1.17963,0.50697,0.43646,0.43469,0.18015,1.99388,1.66193,1.13802,0.00312873,0.00312873,0.0372954
3,45.6662,2.20621,1.72671,1.1284,0.58687,0.40331,0.45402,0.21029,1.92026,1.5678,1.12088,0.00446746,0.00446746,0.00530079
4,64.4757,2.15874,1.62822,1.097,0.53142,0.50829,0.48015,0.2392,1.86719,1.5434,1.10573,0.0042575,0.0042575,0.0042575
5,84.2261,2.04958,1.60727,1.06805,0.54871,0.52486,0.50484,0.24608,1.80093,1.46128,1.10307,0.00401,0.00401,0.00401
6,103.877,1.94914,1.50351,1.08454,0.52337,0.56906,0.50701,0.24142,1.79439,1.46451,1.10435,0.0037625,0.0037625,0.0037625
7,123.336,1.95365,1.4641,1.03572,0.52304,0.53591,0.51298,0.24961,1.78519,1.43337,1.09484,0.003515,0.003515,0.003515
8,142.814,1.80629,1.31335,1.01704,0.51462,0.57459,0.53377,0.25292,1.74622,1.42391,1.08588,0.0032675,0.0032675,0.0032675
9,162.792,1.85327,1.3842,1.04458,0.51843,0.54696,0.53735,0.25962,1.74114,1.39958,1.07528,0.00302,0.00302,0.00302
10,182.826,1.85499,1.35246,1.02727,0.53475,0.55249,0.53101,0.26756,1.73226,1.39674,1.07333,0.0027725,0.0027725,0.0027725
11,201.917,1.78535,1.3529,1.02074,0.57018,0.49837,0.52959,0.26031,1.77802,1.39151,1.07755,0.002525,0.002525,0.002525
12,220.704,1.74436,1.24406,0.99987,0.5681,0.51598,0.54948,0.27306,1.79736,1.37905,1.08653,0.0022775,0.0022775,0.0022775
13,237.288,1.7611,1.24287,0.99482,0.59029,0.55249,0.55785,0.27384,1.81772,1.3642,1.09003,0.00203,0.00203,0.00203
14,251.68,1.74834,1.26386,1.00749,0.61731,0.56354,0.56766,0.27689,1.80049,1.34744,1.08914,0.0017825,0.0017825,0.0017825
15,266.279,1.72383,1.20846,1.00776,0.5825,0.58011,0.55983,0.27817,1.7833,1.3317,1.08839,0.001535,0.001535,0.001535
16,281.475,1.68439,1.2343,0.99521,0.59046,0.58564,0.57295,0.28297,1.78878,1.32122,1.08682,0.0012875,0.0012875,0.0012875
17,295.941,1.67655,1.21648,0.99257,0.5965,0.58806,0.58106,0.28423,1.7945,1.31217,1.08576,0.00104,0.00104,0.00104
18,310.475,1.62502,1.16693,0.98623,0.57294,0.59298,0.57769,0.29296,1.77606,1.31422,1.08186,0.0007925,0.0007925,0.0007925
19,325.12,1.62413,1.13364,0.99792,0.58046,0.60221,0.58176,0.28957,1.76614,1.31329,1.07856,0.000545,0.000545,0.000545
20,339.728,1.6147,1.32154,0.94949,0.5783,0.60773,0.58421,0.2918,1.76806,1.31551,1.07892,0.0002975,0.0002975,0.0002975
