epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,11719.5,2.00877,1.67379,1.46659,0.57636,0.46923,0.47084,0.18385,2.07955,1.94387,1.41876,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,12082.2,2.00269,1.67627,1.46051,0.57828,0.48094,0.47742,0.18163,2.0482,1.92076,1.39842,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,12443.2,1.99086,1.64604,1.45671,0.586,0.47165,0.47115,0.18732,2.05114,1.95088,1.40648,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,12799.9,1.97336,1.62935,1.44822,0.59358,0.47477,0.47099,0.18372,2.05123,1.85251,1.39272,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,13158.2,1.96419,1.62206,1.44532,0.61991,0.4735,0.48429,0.19342,2.03337,1.86863,1.39598,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,13515.6,1.96011,1.59561,1.4498,0.59873,0.48125,0.49543,0.20275,2.03153,1.81697,1.40344,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,13874.9,1.96031,1.60412,1.44237,0.60265,0.511,0.49902,0.20183,2.01611,1.79426,1.38864,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,14215.3,1.94988,1.5828,1.4324,0.61771,0.50623,0.51138,0.20534,2.02431,1.77813,1.40046,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,14573.9,1.9311,1.5649,1.42108,0.62868,0.49303,0.51374,0.20833,2.01143,1.77219,1.39121,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,14932.4,1.91101,1.53764,1.41338,0.63421,0.51419,0.53855,0.22176,2.00918,1.72574,1.3753,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
42,15291,1.89793,1.51858,1.40157,0.64676,0.5234,0.53879,0.22404,2.00408,1.72366,1.36982,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
43,15649.6,1.87845,1.50107,1.38959,0.64073,0.51255,0.54437,0.22573,1.98031,1.73277,1.36801,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
44,16009.2,1.88274,1.49622,1.39821,0.63852,0.52657,0.55213,0.23163,2.00088,1.6838,1.38141,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
45,16368.9,1.85577,1.45541,1.38061,0.65883,0.51523,0.54839,0.23482,1.97664,1.71557,1.37103,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
46,16729.1,1.85618,1.45819,1.38841,0.65423,0.52804,0.55118,0.23586,1.99494,1.76154,1.37751,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
47,17087.8,1.851,1.43418,1.37587,0.65259,0.52061,0.54936,0.23536,2.00116,1.68377,1.38731,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
48,17444.7,1.84162,1.42653,1.3716,0.6566,0.51194,0.54507,0.23337,1.99032,1.66915,1.37338,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
49,17801.5,1.83281,1.426,1.36044,0.68253,0.51193,0.55462,0.23448,2.00882,1.71365,1.37911,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
50,18158.8,1.81585,1.3947,1.36145,0.66751,0.5265,0.56476,0.2416,1.98967,1.7382,1.36643,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
51,18518.9,1.80439,1.39667,1.34888,0.62582,0.54886,0.56447,0.24324,1.98485,1.69911,1.36218,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,18879.4,1.8003,1.36754,1.34134,0.6486,0.54075,0.56447,0.243,1.98452,1.678,1.37143,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
53,19240.4,1.77484,1.3479,1.33392,0.63918,0.54137,0.56075,0.24922,1.97256,1.70911,1.37293,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
54,19598.8,1.76783,1.34801,1.32385,0.6642,0.53734,0.56946,0.25247,1.97682,1.71454,1.37376,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
55,19958.5,1.75983,1.3412,1.32692,0.67278,0.55624,0.57956,0.2586,1.96809,1.70826,1.37595,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
56,20318.1,1.75946,1.33663,1.32194,0.64884,0.55965,0.57585,0.26136,1.963,1.66463,1.36507,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
57,20676.6,1.73991,1.3087,1.31056,0.66751,0.5423,0.57761,0.26335,1.97348,1.64345,1.36726,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
58,21036.5,1.73079,1.29617,1.31007,0.68385,0.54137,0.5864,0.2677,1.95916,1.63669,1.35967,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
59,21395.2,1.72193,1.29393,1.29998,0.67833,0.55191,0.58554,0.26866,1.9615,1.6389,1.36634,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
60,21753.7,1.70484,1.26593,1.297,0.67117,0.57112,0.58779,0.27094,1.96703,1.64634,1.37414,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
61,22112,1.69131,1.26292,1.28791,0.68169,0.56523,0.58563,0.2713,1.96026,1.64577,1.37071,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
62,22470.9,1.68565,1.24648,1.28526,0.67979,0.56709,0.58622,0.27121,1.97018,1.64121,1.37278,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961
63,22830.1,1.66954,1.22853,1.27905,0.69232,0.56027,0.58892,0.27294,1.97327,1.61677,1.37677,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
64,23190,1.67697,1.22231,1.26793,0.69048,0.5634,0.59237,0.27471,1.97568,1.60537,1.37289,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763
65,23549.3,1.66689,1.20982,1.27547,0.69826,0.5581,0.59718,0.2766,1.96801,1.59379,1.36387,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
66,23909.3,1.65545,1.20425,1.27029,0.70383,0.55674,0.60149,0.27931,1.96453,1.61042,1.36325,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
67,24268.9,1.6383,1.1886,1.2588,0.70323,0.55808,0.59916,0.27832,1.96371,1.63741,1.36517,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
68,24627.4,1.62745,1.16304,1.25429,0.70824,0.55903,0.60045,0.28089,1.9591,1.6439,1.36268,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367
69,24988.2,1.62144,1.16821,1.24861,0.71112,0.56219,0.59983,0.28111,1.95873,1.6426,1.36274,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
70,25347.8,1.61637,1.16727,1.24649,0.71356,0.55779,0.59747,0.28182,1.95733,1.64098,1.3646,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169
71,25705.8,1.60284,1.13289,1.24077,0.71399,0.56548,0.6017,0.2842,1.95664,1.64218,1.36438,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
72,26067.2,1.5917,1.1266,1.22075,0.72173,0.56503,0.59988,0.28541,1.95553,1.64946,1.36379,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971
73,26427.8,1.58821,1.12505,1.22623,0.7173,0.55686,0.59752,0.28703,1.95363,1.64436,1.36803,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
74,26790,1.5666,1.11001,1.21956,0.72124,0.55903,0.60288,0.28997,1.95176,1.63956,1.36935,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773
75,27151.7,1.57675,1.11089,1.22337,0.73765,0.55416,0.60989,0.29272,1.94951,1.63816,1.37039,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
76,27511.9,1.55415,1.10486,1.2242,0.73659,0.55893,0.61369,0.29484,1.95196,1.63255,1.37225,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
77,27871.7,1.53576,1.07025,1.20427,0.7421,0.55872,0.61302,0.29699,1.95356,1.62857,1.37373,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
78,28229.1,1.54176,1.0841,1.20574,0.74214,0.56098,0.61467,0.29708,1.95272,1.63466,1.37411,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377
79,28588.7,1.52954,1.07743,1.20343,0.74216,0.56284,0.61611,0.29754,1.95132,1.63487,1.36908,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
80,28947.9,1.5204,1.05744,1.20074,0.74065,0.56306,0.61667,0.29881,1.94981,1.63983,1.37055,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179
81,29307,1.51374,1.05732,1.19223,0.7452,0.56926,0.61863,0.29953,1.94758,1.63765,1.37014,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
82,29667,1.4926,1.03792,1.18787,0.75135,0.56651,0.61635,0.29929,1.94486,1.63792,1.36944,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981
83,30028.9,1.50577,1.05236,1.19099,0.75288,0.56929,0.61767,0.30021,1.94703,1.63035,1.37256,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
84,30399,1.48511,1.02615,1.17661,0.75883,0.57143,0.61985,0.30192,1.94602,1.62449,1.37435,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783
85,30769,1.46858,1.02184,1.17646,0.75882,0.5733,0.62186,0.30342,1.94788,1.61322,1.37856,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
86,31103.5,1.34039,0.78983,1.12636,0.76048,0.57361,0.62311,0.30424,1.94812,1.6066,1.37844,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585
87,31440.5,1.31309,0.77004,1.10921,0.75742,0.57484,0.62273,0.3038,1.94649,1.60488,1.37747,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
88,31775.5,1.29141,0.74701,1.10107,0.75494,0.57577,0.62267,0.30547,1.9429,1.6094,1.37413,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387
89,32110.8,1.27903,0.74124,1.0973,0.75544,0.57732,0.62214,0.30595,1.94426,1.59793,1.37735,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
90,32442.4,1.25789,0.72244,1.08771,0.75747,0.57298,0.62299,0.30678,1.94354,1.59062,1.37831,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189
91,32774.3,1.241,0.7115,1.08144,0.76152,0.57391,0.62456,0.30855,1.94432,1.58977,1.37961,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
92,33107.1,1.2311,0.69883,1.07423,0.7627,0.57267,0.62489,0.30873,1.94432,1.58813,1.38103,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991
93,33441.6,1.22146,0.69483,1.06687,0.76694,0.56864,0.62451,0.31022,1.94397,1.59138,1.3811,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
94,33777.2,1.20623,0.68116,1.06162,0.76319,0.57329,0.624,0.31086,1.94378,1.58656,1.38173,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793
95,34112.1,1.19613,0.66893,1.06065,0.76262,0.57144,0.62288,0.31052,1.94243,1.58689,1.38137,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
96,34443.6,1.18171,0.66201,1.05074,0.76458,0.57266,0.62096,0.31015,1.94733,1.57422,1.38661,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595
97,34773.6,1.16696,0.65189,1.04779,0.76386,0.57236,0.62136,0.31063,1.94975,1.56769,1.39228,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
98,35102.9,1.16639,0.64861,1.04657,0.75376,0.57674,0.62544,0.31329,1.9538,1.55621,1.39726,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397
99,35434.1,1.15254,0.63959,1.03755,0.75145,0.57732,0.62541,0.31424,1.95383,1.54745,1.39915,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298
100,35766.2,1.15351,0.64235,1.04296,0.74983,0.57958,0.62444,0.31485,1.95403,1.54398,1.39963,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199
