epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,10029.1,2.09119,1.80839,1.48609,0.56743,0.44755,0.4537,0.17049,2.09802,2.17259,1.40017,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,10338.4,2.08807,1.80753,1.4817,0.5625,0.44982,0.44577,0.16962,2.06441,1.98089,1.38287,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,10647.8,2.06939,1.79363,1.47355,0.55267,0.45646,0.46953,0.1787,2.04372,2.03948,1.3861,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,10957.7,2.05249,1.76875,1.46728,0.54433,0.47567,0.46918,0.17699,2.05158,2.0407,1.37969,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,11267.9,2.04308,1.75776,1.45529,0.56137,0.46442,0.46291,0.17436,2.05408,2.10444,1.36756,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,11577.7,2.04233,1.72497,1.46092,0.57694,0.46483,0.47974,0.1882,2.03718,1.93097,1.36107,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,11887.5,2.04022,1.73707,1.45463,0.5834,0.47562,0.4645,0.17996,2.04466,1.91844,1.36349,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,12196.2,2.02799,1.71325,1.44439,0.57305,0.46979,0.46791,0.18498,2.04959,1.96337,1.36003,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,12505.8,2.01542,1.70166,1.44292,0.58451,0.48311,0.47736,0.18523,2.04271,2.00461,1.35438,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,12814.6,1.99463,1.67739,1.43201,0.58645,0.48342,0.48918,0.19388,2.02711,1.93935,1.35749,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
42,13126.2,1.98749,1.67089,1.41509,0.62141,0.47536,0.50192,0.19904,2.032,1.92092,1.35104,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
43,13438.3,1.97174,1.63188,1.41139,0.61956,0.48869,0.50875,0.20034,2.02867,1.89242,1.35049,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
44,13749.8,1.97789,1.64064,1.41424,0.61412,0.50511,0.51946,0.20635,2.02071,1.88328,1.34338,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
45,14058.8,1.9546,1.59028,1.39689,0.58939,0.50387,0.51018,0.20222,2.05073,1.87045,1.35688,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
46,14367.5,1.94764,1.59567,1.39764,0.59402,0.50604,0.51742,0.20637,2.04625,1.86524,1.35432,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
47,14676.9,1.94594,1.57002,1.38929,0.63054,0.50294,0.52813,0.21297,2.04046,1.82867,1.36274,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
48,14986,1.92993,1.56066,1.38382,0.62591,0.51224,0.53283,0.21451,2.04462,1.77298,1.37119,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
49,15294,1.93129,1.56504,1.37764,0.64398,0.5056,0.53294,0.21813,2.04112,1.78,1.35046,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
