epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.9726,1.75496,1.22867,1.04234,0.43137,0.44304,0.39302,0.17203,2.11449,1.55667,1.19991,0.00038,0.00038,0.00038
2,25.9939,1.8498,1.16203,1.00693,0.45235,0.48734,0.40127,0.17601,2.13903,1.59948,1.21002,0.000764556,0.000764556,0.000764556
3,40.0363,1.78892,1.14857,1.03589,0.45988,0.48734,0.43686,0.17102,2.26243,1.54688,1.28449,0.00113327,0.00113327,0.00113327
4,52.5412,1.82758,1.15662,1.04551,0.40856,0.5,0.39587,0.14748,2.24274,1.6741,1.25665,0.00148615,0.00148615,0.00148615
5,65.4287,1.83024,1.19782,1.00762,0.46076,0.43038,0.37577,0.15892,2.21637,1.63777,1.26268,0.00182318,0.00182318,0.00182318
6,78.1045,1.82726,1.14553,1.01422,0.57207,0.40506,0.40282,0.15533,2.22004,1.62776,1.25889,0.001802,0.001802,0.001802
7,90.8701,1.77281,1.12858,0.99084,0.49727,0.48734,0.41726,0.15906,2.23922,1.65294,1.24448,0.0017624,0.0017624,0.0017624
8,103.54,1.84068,1.15878,1.00376,0.4716,0.4557,0.38412,0.1505,2.27494,1.5818,1.25284,0.0017228,0.0017228,0.0017228
9,116.312,1.67966,1.06664,0.98075,0.47041,0.41772,0.39401,0.17329,2.17612,1.56806,1.26562,0.0016832,0.0016832,0.0016832
10,129.216,1.77167,1.13013,0.99156,0.45224,0.41281,0.36535,0.16035,2.19085,1.63872,1.26973,0.0016436,0.0016436,0.0016436
11,141.949,1.76869,1.10444,1.02458,0.48155,0.4557,0.40144,0.15935,2.20655,1.61644,1.24904,0.001604,0.001604,0.001604
12,154.814,1.70191,1.03975,0.98095,0.49209,0.38632,0.37285,0.15924,2.16274,1.5479,1.26877,0.0015644,0.0015644,0.0015644
13,167.613,1.72863,1.0319,0.9944,0.40811,0.44937,0.38047,0.15303,2.19722,1.60116,1.28852,0.0015248,0.0015248,0.0015248
14,180.52,1.62698,0.94854,0.95834,0.50512,0.35443,0.35595,0.14508,2.17961,1.76393,1.25224,0.0014852,0.0014852,0.0014852
15,193.117,1.66404,0.98203,0.97163,0.38218,0.45416,0.36049,0.15233,2.19108,1.7176,1.24637,0.0014456,0.0014456,0.0014456
16,205.977,1.61754,0.97203,0.97054,0.39169,0.47468,0.3732,0.15633,2.2303,1.59625,1.24313,0.001406,0.001406,0.001406
17,218.66,1.63783,0.98343,0.95258,0.46276,0.39873,0.38669,0.15723,2.2166,1.68569,1.24446,0.0013664,0.0013664,0.0013664
