epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.11,2.01466,1.39686,1.09194,0.56717,0.3631,0.39396,0.18174,1.99825,1.57432,1.0988,0.00038,0.00038,0.00038
2,28.6659,1.99348,1.36212,1.0733,0.51082,0.375,0.36958,0.17056,2.02379,1.58638,1.11835,0.000764556,0.000764556,0.000764556
3,43.0978,1.88105,1.24098,1.04531,0.48565,0.39881,0.39,0.18729,2.02481,1.53941,1.09296,0.00113327,0.00113327,0.00113327
4,57.3308,1.91488,1.23232,1.02595,0.44687,0.36905,0.3383,0.15067,2.12857,1.6552,1.14091,0.00148615,0.00148615,0.00148615
5,71.3382,1.83047,1.22072,1.06568,0.50536,0.36489,0.35486,0.15172,2.10438,1.75002,1.12099,0.00182318,0.00182318,0.00182318
6,85.1779,1.91004,1.23119,1.04227,0.47322,0.36895,0.32118,0.14951,2.07938,1.75714,1.1195,0.001802,0.001802,0.001802
7,99.2376,1.88578,1.21517,1.01683,0.45203,0.39773,0.36824,0.17096,2.00824,1.61035,1.10952,0.0017624,0.0017624,0.0017624
8,113.24,1.8687,1.22585,1.0204,0.48086,0.42857,0.39611,0.18907,1.99142,1.60721,1.09526,0.0017228,0.0017228,0.0017228
9,127.447,1.75076,1.09787,1.03491,0.52901,0.40114,0.40731,0.19592,1.99687,1.65637,1.10916,0.0016832,0.0016832,0.0016832
10,141.767,1.77889,1.11688,1.02104,0.69796,0.36905,0.42897,0.18377,2.09477,1.62117,1.14208,0.0016436,0.0016436,0.0016436
11,155.674,1.77298,1.06599,0.98316,0.54595,0.39286,0.38347,0.17072,2.1533,1.70039,1.17338,0.001604,0.001604,0.001604
12,169.702,1.79324,1.10879,1.00854,0.52477,0.33333,0.36909,0.16616,2.13982,1.61295,1.15877,0.0015644,0.0015644,0.0015644
13,183.629,1.71924,1.01064,1.00788,0.68861,0.32143,0.40394,0.17381,2.10398,1.62447,1.13111,0.0015248,0.0015248,0.0015248
14,197.699,1.67429,1.03248,1.00875,0.58338,0.39175,0.41325,0.1832,2.1473,1.56244,1.17015,0.0014852,0.0014852,0.0014852
15,211.732,1.67544,0.96567,0.9967,0.604,0.3631,0.40285,0.17938,2.09273,1.5612,1.16009,0.0014456,0.0014456,0.0014456
16,225.621,1.65541,0.99762,1.00726,0.54106,0.39286,0.3998,0.18496,2.05371,1.55116,1.15497,0.001406,0.001406,0.001406
17,239.414,1.71327,0.97048,0.97482,0.63026,0.39286,0.41106,0.18524,2.02109,1.50748,1.13238,0.0013664,0.0013664,0.0013664
18,253.267,1.6258,0.94735,0.97839,0.5576,0.41071,0.41641,0.19027,1.98448,1.52766,1.11102,0.0013268,0.0013268,0.0013268
19,267.415,1.5914,0.91357,0.96329,0.53661,0.43426,0.41927,0.18623,2.04784,1.55505,1.12447,0.0012872,0.0012872,0.0012872
20,281.424,1.55512,0.90576,0.95078,0.5382,0.40476,0.39997,0.18242,2.09907,1.62513,1.15287,0.0012476,0.0012476,0.0012476
21,295.273,1.5554,0.88925,0.96397,0.60311,0.38095,0.39224,0.17956,2.04702,1.59038,1.14,0.001208,0.001208,0.001208
22,309.369,1.55699,0.87773,0.95827,0.57823,0.42435,0.40546,0.17815,2.03575,1.57846,1.13796,0.0011684,0.0011684,0.0011684
23,323.231,1.46562,0.84555,0.92712,0.52153,0.41667,0.39491,0.18505,2.0166,1.549,1.13269,0.0011288,0.0011288,0.0011288
24,337.083,1.49783,0.87801,0.91988,0.58609,0.41301,0.38173,0.17703,1.95215,1.49609,1.10603,0.0010892,0.0010892,0.0010892
