epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,22.066,2.76773,2.50165,1.35254,0.35982,0.35233,0.30127,0.11053,2.27222,1.91418,1.28516,0.001625,0.001625,0.069125
2,43.6828,2.39499,1.91777,1.1675,0.45771,0.46114,0.39816,0.16603,2.07198,1.63159,1.20674,0.00312873,0.00312873,0.0372954
3,66.815,2.21528,1.75336,1.13479,0.51807,0.48705,0.45318,0.17945,2.00936,1.54441,1.19382,0.00446746,0.00446746,0.00530079
4,90.4607,2.05207,1.59415,1.07382,0.52676,0.52332,0.48596,0.20994,1.94973,1.45301,1.17409,0.0042575,0.0042575,0.0042575
5,115.054,2.04514,1.56773,1.08336,0.56398,0.54286,0.52749,0.23627,1.87237,1.40626,1.15079,0.00401,0.00401,0.00401
6,140.203,1.96345,1.49214,1.04913,0.60079,0.52332,0.54418,0.24755,1.82056,1.37704,1.12694,0.0037625,0.0037625,0.0037625
7,166.237,1.99886,1.53469,1.05031,0.62842,0.50823,0.55906,0.25958,1.81343,1.36956,1.11941,0.003515,0.003515,0.003515
8,192.734,1.95304,1.51004,1.04296,0.60062,0.56995,0.5717,0.27661,1.75844,1.34114,1.1131,0.0032675,0.0032675,0.0032675
9,220.73,1.92047,1.47584,1.04301,0.60241,0.56524,0.58097,0.27274,1.76446,1.34648,1.10448,0.00302,0.00302,0.00302
10,248.607,1.91839,1.42175,1.00198,0.63155,0.54922,0.60455,0.29465,1.75462,1.32986,1.10154,0.0027725,0.0027725,0.0027725
11,276.92,1.79616,1.38849,1.00817,0.57913,0.56995,0.57253,0.27708,1.77659,1.35792,1.09565,0.002525,0.002525,0.002525
12,304.359,1.7626,1.29164,1.01026,0.60461,0.57513,0.58657,0.28396,1.77623,1.34334,1.09133,0.0022775,0.0022775,0.0022775
13,332.438,1.73083,1.28027,1.00012,0.65506,0.58053,0.5974,0.29124,1.74369,1.28623,1.09896,0.00203,0.00203,0.00203
14,360.913,1.74721,1.2482,0.99268,0.64068,0.59126,0.60664,0.29748,1.74582,1.28334,1.1043,0.0017825,0.0017825,0.0017825
15,390.413,1.76735,1.28137,0.99574,0.63044,0.58549,0.59434,0.29504,1.7607,1.2776,1.10667,0.001535,0.001535,0.001535
16,419.584,1.68672,1.2454,1.01396,0.63975,0.59067,0.60753,0.30134,1.74066,1.264,1.10382,0.0012875,0.0012875,0.0012875
17,448.152,1.70225,1.20397,0.9875,0.6476,0.57513,0.62039,0.30275,1.73578,1.25956,1.10102,0.00104,0.00104,0.00104
18,477.018,1.66502,1.20274,1.00605,0.65201,0.58248,0.62301,0.30243,1.7326,1.25868,1.10132,0.0007925,0.0007925,0.0007925
19,507.171,1.65977,1.20309,0.99563,0.65952,0.58031,0.62042,0.29467,1.74047,1.25836,1.10008,0.000545,0.000545,0.000545
20,537.043,1.68126,1.23323,0.9938,0.6614,0.57691,0.62131,0.29618,1.74202,1.2608,1.09877,0.0002975,0.0002975,0.0002975
