epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,59.7399,2.75877,2.31569,1.28437,0.50754,0.37791,0.39941,0.1792,2.13454,1.77662,1.13232,0.001625,0.001625,0.069125
2,119.068,2.41877,1.86767,1.1741,0.50716,0.47093,0.47148,0.23529,1.88293,1.57948,1.06889,0.00312873,0.00312873,0.0372954
3,179.261,2.14177,1.69497,1.14728,0.56408,0.48837,0.50588,0.24323,1.85258,1.48095,1.04403,0.00446746,0.00446746,0.00530079
4,239.388,2.08437,1.53244,1.0947,0.61607,0.47674,0.53452,0.28094,1.79058,1.44133,1.03368,0.0042575,0.0042575,0.0042575
5,299.219,1.9168,1.4573,1.09498,0.62639,0.48837,0.56831,0.2923,1.74977,1.38624,1.03201,0.00401,0.00401,0.00401
6,359.116,1.92214,1.4516,1.09512,0.6694,0.48266,0.5768,0.31629,1.68641,1.33994,1.0206,0.0037625,0.0037625,0.0037625
7,419.496,1.95356,1.4715,1.03967,0.70362,0.52326,0.60001,0.33092,1.66079,1.31335,1.00773,0.003515,0.003515,0.003515
8,472.283,1.94961,1.49768,1.05448,0.72025,0.50581,0.59932,0.32661,1.67328,1.31696,1.00425,0.0032675,0.0032675,0.0032675
9,488.962,1.81252,1.34318,1.0345,0.73513,0.50581,0.60832,0.33974,1.63684,1.2961,1.00637,0.00302,0.00302,0.00302
10,504.989,1.82542,1.30843,1.03558,0.72795,0.51163,0.61595,0.34471,1.60346,1.27665,1.00306,0.0027725,0.0027725,0.0027725
11,520.419,1.71349,1.24121,0.9982,0.65383,0.51163,0.60733,0.33749,1.60367,1.27965,0.99107,0.002525,0.002525,0.002525
12,535.891,1.70325,1.24345,1.00955,0.74973,0.48256,0.61063,0.32719,1.63651,1.27558,0.99975,0.0022775,0.0022775,0.0022775
13,551.261,1.70124,1.17083,1.01088,0.76316,0.47674,0.60498,0.34572,1.60835,1.2641,1.00822,0.00203,0.00203,0.00203
14,566.563,1.66666,1.18817,1.01102,0.7144,0.5,0.60393,0.33423,1.61603,1.26268,1.00953,0.0017825,0.0017825,0.0017825
15,581.909,1.60286,1.15688,1.01469,0.74287,0.49419,0.60513,0.33377,1.62497,1.27116,1.00535,0.001535,0.001535,0.001535
16,597.191,1.69603,1.18044,1.00167,0.76807,0.48837,0.60775,0.33692,1.62726,1.26333,1.00417,0.0012875,0.0012875,0.0012875
17,612.473,1.65383,1.16219,0.98925,0.77648,0.48837,0.6191,0.33748,1.63734,1.26332,1.00392,0.00104,0.00104,0.00104
18,627.864,1.62415,1.1461,0.98574,0.69398,0.50581,0.61931,0.35,1.61943,1.25447,1.00126,0.0007925,0.0007925,0.0007925
19,643.479,1.60796,1.1402,0.99543,0.72837,0.5,0.61991,0.35314,1.60619,1.24568,0.9971,0.000545,0.000545,0.000545
20,659.028,1.63393,1.15614,0.98739,0.69355,0.52632,0.62604,0.3507,1.60092,1.24935,0.99431,0.0002975,0.0002975,0.0002975
