epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,20.1606,2.72882,2.28991,1.29347,0.44436,0.38882,0.38418,0.15959,2.06676,1.76513,1.16125,0.001625,0.001625,0.069125
2,41.1242,2.28162,1.82154,1.16074,0.50247,0.57459,0.49578,0.23048,1.85413,1.57976,1.09235,0.00312873,0.00312873,0.0372954
3,62.0879,2.1142,1.58797,1.12082,0.5349,0.54144,0.52197,0.26582,1.76087,1.45703,1.07927,0.00446746,0.00446746,0.00530079
4,82.9335,2.04838,1.52783,1.07943,0.55876,0.55272,0.54109,0.27824,1.7178,1.39517,1.07798,0.0042575,0.0042575,0.0042575
5,99.3742,1.99215,1.52994,1.05955,0.61229,0.52351,0.55447,0.27737,1.6998,1.35754,1.08318,0.00401,0.00401,0.00401
6,115.477,1.89532,1.4654,1.08092,0.62857,0.52358,0.56837,0.28856,1.66071,1.35015,1.08753,0.0037625,0.0037625,0.0037625
7,131.663,1.92813,1.4227,1.03331,0.58547,0.54144,0.55519,0.29486,1.69288,1.34828,1.09077,0.003515,0.003515,0.003515
8,147.86,1.73942,1.29322,0.99861,0.56472,0.58011,0.58501,0.30085,1.66245,1.34087,1.07541,0.0032675,0.0032675,0.0032675
9,163.951,1.81445,1.37596,1.04868,0.56429,0.60221,0.58556,0.30503,1.64898,1.34347,1.06319,0.00302,0.00302,0.00302
10,180.166,1.80219,1.32053,1.00972,0.58401,0.58949,0.59096,0.31532,1.63459,1.33635,1.06012,0.0027725,0.0027725,0.0027725
11,195.736,1.7166,1.26702,0.9923,0.57881,0.56185,0.58794,0.30456,1.63649,1.31474,1.05266,0.002525,0.002525,0.002525
12,211.281,1.72679,1.21894,0.99158,0.62728,0.53039,0.60035,0.31059,1.61744,1.30254,1.05272,0.0022775,0.0022775,0.0022775
13,226.818,1.72878,1.2118,1.00982,0.60074,0.56354,0.60237,0.32121,1.60921,1.29705,1.05439,0.00203,0.00203,0.00203
14,242.372,1.69744,1.19331,0.98864,0.60914,0.56906,0.60766,0.3205,1.61444,1.2968,1.05605,0.0017825,0.0017825,0.0017825
15,261.154,1.64175,1.15286,0.9943,0.60141,0.56906,0.60027,0.31818,1.63379,1.29361,1.05544,0.001535,0.001535,0.001535
16,281.163,1.6391,1.15352,0.98406,0.62613,0.58011,0.61571,0.32088,1.62987,1.287,1.0551,0.0012875,0.0012875,0.0012875
17,301.482,1.63856,1.12293,0.98933,0.62668,0.58564,0.60176,0.33259,1.61047,1.26863,1.05122,0.00104,0.00104,0.00104
18,322.206,1.61244,1.11115,0.99621,0.62402,0.61326,0.61538,0.33557,1.60545,1.26544,1.0497,0.0007925,0.0007925,0.0007925
19,341.252,1.5999,1.09792,1.00437,0.59375,0.59754,0.61272,0.33657,1.59713,1.26457,1.04813,0.000545,0.000545,0.000545
20,359.683,1.61444,1.3097,0.97212,0.59885,0.60221,0.61345,0.33679,1.59383,1.26341,1.0461,0.0002975,0.0002975,0.0002975
