epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.3481,2.99911,2.41252,1.5018,0.38198,0.30719,0.23724,0.08011,2.5752,2.12282,1.16062,0.00038,0.00038,0.00038
2,22.3333,2.53366,1.96586,1.27635,0.4559,0.37908,0.36665,0.13939,2.34241,1.83381,1.10412,0.00074139,0.00074139,0.00074139
3,33.3801,2.253,1.7172,1.20144,0.46339,0.43791,0.36691,0.14433,2.23507,1.78351,1.07239,0.00106318,0.00106318,0.00106318
4,44.2041,2.20256,1.63112,1.16841,0.47367,0.39869,0.35749,0.13601,2.27544,1.94706,1.06208,0.00134537,0.00134537,0.00134537
5,55.0372,2.14022,1.59582,1.13093,0.48999,0.44585,0.39883,0.15121,2.26707,1.72588,1.07463,0.00158796,0.00158796,0.00158796
6,65.8852,2.16102,1.55046,1.13233,0.50965,0.4183,0.3862,0.15027,2.26836,1.71624,1.07704,0.001505,0.001505,0.001505
7,76.6794,2.03713,1.43666,1.13313,0.58061,0.43137,0.41583,0.16867,2.21506,1.62901,1.08916,0.001406,0.001406,0.001406
8,87.4125,2.04877,1.43619,1.10866,0.61926,0.45098,0.46379,0.15763,2.27927,1.6459,1.08427,0.001307,0.001307,0.001307
9,98.1675,2.0215,1.42698,1.11602,0.63121,0.42484,0.43369,0.16109,2.24783,1.59707,1.05547,0.001208,0.001208,0.001208
10,108.983,1.98331,1.30744,1.09882,0.61508,0.4491,0.46349,0.16527,2.24408,1.59239,1.04999,0.001109,0.001109,0.001109
11,119.435,1.83431,1.26483,1.05998,0.61196,0.44324,0.4312,0.17357,2.19911,1.61878,1.04189,0.00101,0.00101,0.00101
12,130.065,1.84695,1.19915,1.078,0.51552,0.45098,0.43149,0.17534,2.20886,1.62423,1.03051,0.000911,0.000911,0.000911
13,140.588,1.76629,1.18391,1.08594,0.57043,0.44265,0.42921,0.16286,2.22343,1.64313,1.03049,0.000812,0.000812,0.000812
14,150.95,1.71892,1.1148,1.0313,0.6177,0.43791,0.42964,0.1717,2.18722,1.65913,1.04447,0.000713,0.000713,0.000713
15,161.236,1.65996,1.06899,1.02142,0.57772,0.45752,0.42725,0.17499,2.17586,1.6279,1.04384,0.000614,0.000614,0.000614
16,171.492,1.73545,1.08882,1.05998,0.59329,0.44812,0.44929,0.17888,2.1901,1.62407,1.03404,0.000515,0.000515,0.000515
17,181.829,1.64593,1.07309,1.03123,0.53315,0.46405,0.42939,0.17749,2.16614,1.65981,1.03036,0.000416,0.000416,0.000416
18,192.219,1.71072,1.07287,1.04815,0.53165,0.44444,0.41479,0.17702,2.16925,1.66442,1.02986,0.000317,0.000317,0.000317
19,202.414,1.58098,0.98624,1.0099,0.58225,0.43137,0.42714,0.17896,2.17024,1.69003,1.02925,0.000218,0.000218,0.000218
20,212.936,1.61703,1.04673,1.00704,0.59745,0.43791,0.44396,0.18258,2.16749,1.70772,1.03025,0.000119,0.000119,0.000119
