epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,3264.43,2.00527,1.69787,1.4703,0.55234,0.4638,0.4485,0.17048,2.08758,2.12633,1.41695,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,3590.3,1.98946,1.69066,1.45689,0.58934,0.47229,0.48999,0.18578,2.09338,1.91373,1.41361,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,3917.01,1.97384,1.64886,1.44839,0.55699,0.47041,0.4735,0.182,2.07925,2.093,1.41509,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,4242.27,1.96121,1.62757,1.44051,0.5531,0.47939,0.47287,0.18541,2.07436,1.9213,1.40031,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,4568.17,1.95185,1.63364,1.43151,0.59734,0.4952,0.49603,0.1957,2.05491,1.88263,1.40478,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,4892.85,1.9259,1.57562,1.42053,0.59866,0.48249,0.48522,0.18705,2.07611,1.88631,1.4231,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,5219.14,1.9291,1.58105,1.41893,0.5718,0.51069,0.50921,0.2023,2.03601,1.93596,1.40015,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,5545.62,1.92159,1.56248,1.40956,0.57618,0.50386,0.48592,0.19154,2.03733,1.87303,1.3913,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,5872.51,1.89868,1.53311,1.39544,0.60159,0.51378,0.51687,0.20617,2.05055,1.87098,1.401,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,6199.3,1.90579,1.52564,1.39509,0.65603,0.49179,0.52316,0.21058,2.04773,1.84739,1.40558,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
42,6524.6,1.91778,1.54551,1.40076,0.61428,0.51472,0.52074,0.20399,2.04703,1.84749,1.3941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
43,6850.18,1.89866,1.53376,1.3952,0.61967,0.51689,0.52755,0.21449,2.01752,1.93316,1.3866,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
44,7176.84,1.87755,1.49166,1.38043,0.6207,0.50945,0.52797,0.21199,2.03458,1.80286,1.38793,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
45,7503.09,1.8858,1.50306,1.38778,0.61405,0.5162,0.53499,0.21604,2.02106,1.82772,1.38325,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
46,7828.41,1.87244,1.49281,1.37291,0.6264,0.52154,0.53535,0.21874,2.01481,1.82025,1.38164,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
47,320.581,1.79673,1.37985,1.33568,0.6538,0.51534,0.54188,0.2278,2.01234,1.77245,1.39746,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
48,648.419,1.78389,1.37253,1.32963,0.64497,0.53144,0.52733,0.21927,2.01445,1.79217,1.40519,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
49,974.763,1.77022,1.34035,1.32528,0.64924,0.51813,0.5322,0.22403,2.01122,1.84796,1.38831,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
50,1302.48,1.80464,1.39339,1.3425,0.66239,0.52044,0.53762,0.22652,2.0232,1.75452,1.38698,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
51,1630.46,1.77927,1.36628,1.33253,0.65043,0.53565,0.54446,0.22651,2.00569,1.81393,1.37971,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,1958.5,1.78771,1.36256,1.33075,0.6292,0.55317,0.55511,0.23505,2.00673,1.751,1.37773,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
53,320.149,1.59265,1.14695,1.23994,0.63881,0.56368,0.56124,0.23818,2.02268,1.71559,1.41248,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
