epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,20.61,1.82491,1.39375,1.01445,0.61587,0.55249,0.57935,0.29317,1.76563,1.36853,1.09836,0.000325,0.000325,0.067825
2,41.0161,1.83767,1.32958,1.01406,0.62813,0.50829,0.57805,0.28615,1.75263,1.36846,1.09257,0.000645298,0.000645298,0.034812
3,61.4718,1.78985,1.33606,1.02893,0.62629,0.53039,0.57814,0.29935,1.74446,1.36209,1.09402,0.000952397,0.000952397,0.00178573
4,82.0283,1.85897,1.33276,1.02257,0.59816,0.55249,0.57273,0.29739,1.74537,1.3536,1.09292,0.0009406,0.0009406,0.0009406
5,102.384,1.79533,1.3246,0.99966,0.61045,0.56276,0.58793,0.29178,1.77716,1.34935,1.09776,0.0009208,0.0009208,0.0009208
6,122.86,1.86297,1.35437,1.02862,0.60607,0.58564,0.58443,0.30263,1.74334,1.32789,1.09692,0.000901,0.000901,0.000901
7,143.306,1.75296,1.20058,0.98443,0.6146,0.59031,0.59922,0.29926,1.7468,1.32136,1.09466,0.0008812,0.0008812,0.0008812
8,163.708,1.75767,1.20621,0.98457,0.612,0.59259,0.58964,0.30725,1.72658,1.31538,1.08613,0.0008614,0.0008614,0.0008614
9,184.17,1.71583,1.23871,0.99408,0.60183,0.59116,0.5905,0.30937,1.73101,1.3289,1.08998,0.0008416,0.0008416,0.0008416
10,205.9,1.78742,1.25187,0.98758,0.56997,0.58564,0.58794,0.312,1.72521,1.32339,1.09287,0.0008218,0.0008218,0.0008218
11,230.803,1.7328,1.23467,0.98253,0.5811,0.60221,0.59696,0.30765,1.74242,1.29981,1.0944,0.000802,0.000802,0.000802
12,254.498,1.78496,1.24149,0.9777,0.59409,0.59669,0.60461,0.31561,1.74885,1.29601,1.09548,0.0007822,0.0007822,0.0007822
