epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,46.2881,1.77201,1.34381,1.01801,0.67142,0.51744,0.60664,0.34833,1.60087,1.2399,1.00595,0.000325,0.000325,0.067825
2,111.108,1.79139,1.28783,1.00029,0.69864,0.51163,0.62041,0.34308,1.5988,1.26473,0.99473,0.000645298,0.000645298,0.034812
3,189.217,1.78878,1.22028,1.0073,0.7044,0.53488,0.6228,0.34714,1.59426,1.24637,0.9929,0.000952397,0.000952397,0.00178573
4,257.085,1.74075,1.26013,1.01166,0.65428,0.55016,0.61837,0.34183,1.6031,1.25355,0.99445,0.0009406,0.0009406,0.0009406
5,320.06,1.76433,1.2375,0.98603,0.65253,0.55685,0.6132,0.34448,1.60118,1.2504,0.99777,0.0009208,0.0009208,0.0009208
6,366.423,1.77732,1.24496,0.99666,0.62558,0.56342,0.60923,0.3404,1.60604,1.25563,0.99772,0.000901,0.000901,0.000901
7,438.499,1.70479,1.17877,1.00098,0.63449,0.56395,0.60678,0.34554,1.60154,1.26405,0.99645,0.0008812,0.0008812,0.0008812
8,510.215,1.67554,1.16406,0.99485,0.63825,0.56395,0.61535,0.34968,1.58692,1.25971,0.99221,0.0008614,0.0008614,0.0008614
9,581.725,1.69241,1.16173,0.9901,0.65343,0.5814,0.62848,0.35318,1.59107,1.2518,0.99205,0.0008416,0.0008416,0.0008416
10,652.199,1.73706,1.21139,0.98458,0.6405,0.57558,0.63057,0.3603,1.58517,1.24801,0.99175,0.0008218,0.0008218,0.0008218
11,723.239,1.67994,1.15745,0.98252,0.71695,0.54488,0.63997,0.36696,1.58905,1.2295,0.99258,0.000802,0.000802,0.000802
12,789.492,1.70398,1.17534,0.9836,0.72809,0.56045,0.64943,0.36841,1.59134,1.22691,0.98959,0.0007822,0.0007822,0.0007822
13,858,1.72626,1.12276,0.95911,0.66143,0.57558,0.64549,0.37203,1.57209,1.21992,0.98506,0.0007624,0.0007624,0.0007624
14,927.536,1.70691,1.15249,0.98425,0.68058,0.58721,0.66169,0.36735,1.5887,1.22782,0.98838,0.0007426,0.0007426,0.0007426
15,997.413,1.63911,1.09174,0.96647,0.6981,0.55814,0.66336,0.37794,1.58052,1.21555,0.98518,0.0007228,0.0007228,0.0007228
16,1068,1.68288,1.11735,0.98423,0.67081,0.58053,0.65387,0.37572,1.57877,1.2222,0.98273,0.000703,0.000703,0.000703
17,1149.87,1.68417,1.14451,0.97463,0.67056,0.60465,0.65408,0.37392,1.57363,1.2091,0.9795,0.0006832,0.0006832,0.0006832
18,1223.12,1.63634,1.11507,0.98433,0.64316,0.61628,0.65106,0.36842,1.56394,1.20359,0.97782,0.0006634,0.0006634,0.0006634
19,1295.63,1.66219,1.12226,0.97319,0.64552,0.59302,0.64761,0.37105,1.56233,1.21896,0.98251,0.0006436,0.0006436,0.0006436
20,1366.92,1.66455,1.088,0.96777,0.66381,0.5625,0.64733,0.37241,1.57201,1.22319,0.98632,0.0006238,0.0006238,0.0006238
21,1430.9,1.62962,1.1084,0.95965,0.68146,0.5814,0.64929,0.37363,1.57363,1.21671,0.98658,0.000604,0.000604,0.000604
22,1507,1.61917,1.10668,0.95012,0.70111,0.56395,0.65327,0.37111,1.57734,1.21742,0.98559,0.0005842,0.0005842,0.0005842
23,1569.67,1.58906,1.07221,0.96476,0.67242,0.58479,0.65383,0.37144,1.5868,1.21545,0.98626,0.0005644,0.0005644,0.0005644
24,1637.8,1.59398,1.08257,0.95714,0.65732,0.58721,0.66029,0.37419,1.57389,1.21304,0.98332,0.0005446,0.0005446,0.0005446
25,1706.28,1.59754,1.05105,0.97307,0.68894,0.55371,0.65281,0.37415,1.56167,1.20743,0.98356,0.0005248,0.0005248,0.0005248
26,1780.07,1.57381,1.07679,0.95713,0.68339,0.58982,0.65646,0.3773,1.57485,1.21491,0.98428,0.000505,0.000505,0.000505
27,1847.75,1.61699,1.06424,0.95944,0.71378,0.5814,0.66501,0.37427,1.5802,1.21331,0.98208,0.0004852,0.0004852,0.0004852
28,1921.82,1.58157,1.04088,0.94489,0.69778,0.59884,0.66695,0.37966,1.56855,1.21109,0.98147,0.0004654,0.0004654,0.0004654
29,2000.9,1.59822,1.06992,0.95261,0.67367,0.59884,0.66128,0.37802,1.57671,1.21388,0.9816,0.0004456,0.0004456,0.0004456
30,2072.86,1.57795,1.06183,0.94842,0.69999,0.61047,0.67005,0.37949,1.57264,1.21645,0.97882,0.0004258,0.0004258,0.0004258
31,2143.34,1.55246,1.08652,0.95995,0.68006,0.59302,0.66133,0.37444,1.57709,1.21667,0.9798,0.000406,0.000406,0.000406
32,2214.03,1.63905,1.06881,0.9537,0.66604,0.60465,0.65971,0.37526,1.58411,1.21128,0.98087,0.0003862,0.0003862,0.0003862
33,2280.08,1.66459,1.02844,0.9712,0.68631,0.59302,0.65991,0.37611,1.59217,1.2187,0.98241,0.0003664,0.0003664,0.0003664
34,2354.2,1.59162,1.00762,0.95858,0.67863,0.58932,0.65964,0.37721,1.5831,1.21441,0.98129,0.0003466,0.0003466,0.0003466
35,2416.71,1.55655,1.00987,0.95934,0.64582,0.60428,0.65944,0.37332,1.58404,1.20722,0.98119,0.0003268,0.0003268,0.0003268
36,2487.58,1.57199,0.9996,0.95617,0.68695,0.60465,0.65575,0.37152,1.58709,1.20849,0.9823,0.000307,0.000307,0.000307
37,2553.74,1.59366,1.02866,0.94006,0.65664,0.60465,0.66075,0.36985,1.58747,1.20817,0.98243,0.0002872,0.0002872,0.0002872
38,2625.56,1.564,1.02149,0.94774,0.67763,0.60465,0.65692,0.37686,1.58562,1.21715,0.98204,0.0002674,0.0002674,0.0002674
39,2691.48,1.52845,1.01721,0.96083,0.67657,0.60465,0.66098,0.37449,1.58548,1.21964,0.98183,0.0002476,0.0002476,0.0002476
40,2762.82,1.59745,1.09204,0.95756,0.68618,0.60465,0.66182,0.3734,1.58553,1.21946,0.98157,0.0002278,0.0002278,0.0002278
41,2827.16,1.63839,1.16636,0.97245,0.62486,0.6198,0.64566,0.35369,1.62619,1.29709,0.98795,0.000208,0.000208,0.000208
