epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,49.5089,1.69782,1.23027,1.0236,0.57268,0.62428,0.59977,0.33128,1.66168,1.42153,1.07101,0.000325,0.000325,0.067825
2,123.582,1.79264,1.2438,0.99869,0.59697,0.60116,0.5976,0.32593,1.65921,1.43776,1.06808,0.000645298,0.000645298,0.034812
3,190.579,1.70375,1.20641,1.01242,0.55096,0.64162,0.59869,0.32462,1.65613,1.41866,1.06653,0.000952397,0.000952397,0.00178573
4,256.787,1.75041,1.27086,1.00442,0.55541,0.64162,0.59283,0.32134,1.66414,1.41613,1.06967,0.0009406,0.0009406,0.0009406
5,324.69,1.72241,1.20828,0.99731,0.58737,0.60889,0.5859,0.31905,1.66394,1.39751,1.06868,0.0009208,0.0009208,0.0009208
6,394.822,1.73114,1.169,0.99868,0.6036,0.63584,0.60178,0.33367,1.63845,1.36676,1.06467,0.000901,0.000901,0.000901
7,470.8,1.62703,1.13524,0.98982,0.59967,0.6185,0.60839,0.33966,1.62992,1.35678,1.06252,0.0008812,0.0008812,0.0008812
8,548.105,1.74805,1.22926,0.97325,0.61372,0.63006,0.61433,0.34802,1.63213,1.33046,1.06517,0.0008614,0.0008614,0.0008614
9,628.394,1.6864,1.17948,0.9875,0.61189,0.62428,0.62062,0.34843,1.62989,1.34508,1.06244,0.0008416,0.0008416,0.0008416
10,709.342,1.8062,1.1743,0.97855,0.63486,0.6185,0.63115,0.35177,1.60254,1.33155,1.0591,0.0008218,0.0008218,0.0008218
11,781.1,1.73185,1.2101,1.00097,0.64023,0.63584,0.63305,0.35988,1.5987,1.33117,1.05478,0.000802,0.000802,0.000802
12,862.683,1.67934,1.1192,0.96787,0.61882,0.64162,0.63122,0.34786,1.60654,1.31927,1.05359,0.0007822,0.0007822,0.0007822
13,945.035,1.72221,1.10012,0.96495,0.62146,0.65479,0.62492,0.3554,1.59518,1.31997,1.05491,0.0007624,0.0007624,0.0007624
14,1025.41,1.66206,1.09249,0.96809,0.62901,0.64685,0.62598,0.35603,1.61539,1.32642,1.0602,0.0007426,0.0007426,0.0007426
15,1094.46,1.6818,1.14093,0.97818,0.61144,0.65318,0.62634,0.35466,1.62276,1.33368,1.06056,0.0007228,0.0007228,0.0007228
16,1167.14,1.63826,1.09259,0.98703,0.60563,0.6474,0.62237,0.34885,1.61511,1.31897,1.05714,0.000703,0.000703,0.000703
17,1246.02,1.67922,1.12662,0.99066,0.57895,0.64162,0.61776,0.34694,1.61044,1.32047,1.05886,0.0006832,0.0006832,0.0006832
18,1325.29,1.6883,1.12529,0.98628,0.58752,0.64221,0.6209,0.34602,1.62062,1.33106,1.06084,0.0006634,0.0006634,0.0006634
19,1404.51,1.65245,1.09915,0.97035,0.58103,0.6474,0.62656,0.35112,1.61073,1.32671,1.05855,0.0006436,0.0006436,0.0006436
20,1485.46,1.70053,1.09449,0.96263,0.5786,0.65318,0.62923,0.3532,1.6097,1.32169,1.05974,0.0006238,0.0006238,0.0006238
21,1567.32,1.63147,1.05501,0.96194,0.60904,0.64162,0.62963,0.35471,1.60511,1.31168,1.06047,0.000604,0.000604,0.000604
22,1645.82,1.64717,1.14204,0.98856,0.64184,0.60694,0.63617,0.35238,1.60864,1.31804,1.05801,0.0005842,0.0005842,0.0005842
23,1715.06,1.59665,1.08928,0.96338,0.65172,0.62428,0.63271,0.35023,1.61352,1.31208,1.05857,0.0005644,0.0005644,0.0005644
24,1795.87,1.58869,1.01933,0.9675,0.61139,0.63006,0.62625,0.35065,1.61976,1.29605,1.06075,0.0005446,0.0005446,0.0005446
25,1876.75,1.6045,1.05086,0.96823,0.63602,0.62625,0.63359,0.35239,1.61925,1.30132,1.06071,0.0005248,0.0005248,0.0005248
26,1956.96,1.68408,1.09569,0.97795,0.60096,0.64162,0.62698,0.35269,1.63382,1.30311,1.06269,0.000505,0.000505,0.000505
